ticker,metric,fy,sheet_value_musd,extracted,frames_api,frame,tag,status,period_end,restated,first_value,sheet_vs_extract_ok,frames_match
WMT,revenue,2015,478614,478614000000.0,478614000000.0,CY2015,SalesRevenueNet,ok,2016-01-31,False,478614000000.0,True,True
WMT,revenue,2016,481317,481317000000.0,481317000000.0,CY2016,RevenueFromContractWithCustomerExcludingAssessedTax,ok,2017-01-31,False,481317000000.0,True,True
WMT,revenue,2017,495761,495761000000.0,495761000000.0,CY2017,RevenueFromContractWithCustomerExcludingAssessedTax,ok,2018-01-31,False,495761000000.0,True,True
WMT,revenue,2018,510329,510329000000.0,510329000000.0,CY2018,RevenueFromContractWithCustomerExcludingAssessedTax,ok,2019-01-31,False,510329000000.0,True,True
WMT,revenue,2019,519926,519926000000.0,519926000000.0,CY2019,RevenueFromContractWithCustomerExcludingAssessedTax,ok,2020-01-31,False,519926000000.0,True,True
WMT,revenue,2020,555233,555233000000.0,555233000000.0,CY2020,RevenueFromContractWithCustomerExcludingAssessedTax,ok,2021-01-31,False,555233000000.0,True,True
WMT,revenue,2021,567762,567762000000.0,567762000000.0,CY2021,RevenueFromContractWithCustomerExcludingAssessedTax,ok,2022-01-31,False,567762000000.0,True,True
WMT,revenue,2022,605881,605881000000.0,605881000000.0,CY2022,RevenueFromContractWithCustomerExcludingAssessedTax,ok,2023-01-31,False,605881000000.0,True,True
WMT,revenue,2023,642637,642637000000.0,642637000000.0,CY2023,RevenueFromContractWithCustomerExcludingAssessedTax,ok,2024-01-31,False,642637000000.0,True,True
WMT,revenue,2024,674538,674538000000.0,674538000000.0,CY2024,RevenueFromContractWithCustomerExcludingAssessedTax,ok,2025-01-31,False,674538000000.0,True,True
WMT,revenue,2025,706413,706413000000.0,706413000000.0,CY2025,RevenueFromContractWithCustomerExcludingAssessedTax,ok,2026-01-31,False,706413000000.0,True,True
WMT,cost_of_sales,2015,360984,360984000000.0,360984000000.0,CY2015,CostOfRevenue,ok,2016-01-31,False,360984000000.0,True,True
WMT,cost_of_sales,2016,361256,361256000000.0,361256000000.0,CY2016,CostOfRevenue,ok,2017-01-31,False,361256000000.0,True,True
WMT,cost_of_sales,2017,373396,373396000000.0,373396000000.0,CY2017,CostOfRevenue,ok,2018-01-31,False,373396000000.0,True,True
WMT,cost_of_sales,2018,385301,385301000000.0,385301000000.0,CY2018,CostOfRevenue,ok,2019-01-31,False,385301000000.0,True,True
WMT,cost_of_sales,2019,394605,394605000000.0,394605000000.0,CY2019,CostOfRevenue,ok,2020-01-31,False,394605000000.0,True,True
WMT,cost_of_sales,2020,420315,420315000000.0,420315000000.0,CY2020,CostOfRevenue,ok,2021-01-31,False,420315000000.0,True,True
WMT,cost_of_sales,2021,429000,429000000000.0,429000000000.0,CY2021,CostOfRevenue,ok,2022-01-31,False,429000000000.0,True,True
WMT,cost_of_sales,2022,463721,463721000000.0,463721000000.0,CY2022,CostOfRevenue,ok,2023-01-31,False,463721000000.0,True,True
WMT,cost_of_sales,2023,490142,490142000000.0,490142000000.0,CY2023,CostOfRevenue,ok,2024-01-31,False,490142000000.0,True,True
WMT,cost_of_sales,2024,511753,511753000000.0,511753000000.0,CY2024,CostOfRevenue,ok,2025-01-31,False,511753000000.0,True,True
WMT,cost_of_sales,2025,535395,535395000000.0,535395000000.0,CY2025,CostOfRevenue,ok,2026-01-31,False,535395000000.0,True,True
WMT,net_income,2015,14694,14694000000.0,14694000000.0,CY2015,NetIncomeLoss,ok,2016-01-31,False,14694000000.0,True,True
WMT,net_income,2016,13643,13643000000.0,13643000000.0,CY2016,NetIncomeLoss,ok,2017-01-31,False,13643000000.0,True,True
WMT,net_income,2017,9862,9862000000.0,9862000000.0,CY2017,NetIncomeLoss,ok,2018-01-31,False,9862000000.0,True,True
WMT,net_income,2018,6670,6670000000.0,6670000000.0,CY2018,NetIncomeLoss,ok,2019-01-31,False,6670000000.0,True,True
WMT,net_income,2019,14881,14881000000.0,14881000000.0,CY2019,NetIncomeLoss,ok,2020-01-31,False,14881000000.0,True,True
WMT,net_income,2020,13510,13510000000.0,13510000000.0,CY2020,NetIncomeLoss,ok,2021-01-31,False,13510000000.0,True,True
WMT,net_income,2021,13673,13673000000.0,,,NetIncomeLoss,ok,2022-01-31,False,13673000000.0,True,
WMT,net_income,2022,11680,11680000000.0,,,NetIncomeLoss,ok,2023-01-31,False,11680000000.0,True,
WMT,net_income,2023,15511,15511000000.0,,,NetIncomeLoss,ok,2024-01-31,False,15511000000.0,True,
WMT,net_income,2024,19436,19436000000.0,,,NetIncomeLoss,ok,2025-01-31,False,19436000000.0,True,
WMT,net_income,2025,21893,21893000000.0,,,NetIncomeLoss,ok,2026-01-31,False,21893000000.0,True,
WMT,current_assets,2015,60239,60239000000.0,60239000000.0,CY2015Q4I,AssetsCurrent,ok,2016-01-31,False,60239000000.0,True,True
WMT,current_assets,2016,57689,57689000000.0,57689000000.0,CY2016Q4I,AssetsCurrent,ok,2017-01-31,False,57689000000.0,True,True
WMT,current_assets,2017,59664,59664000000.0,59664000000.0,CY2017Q4I,AssetsCurrent,ok,2018-01-31,False,59664000000.0,True,True
WMT,current_assets,2018,61897,61897000000.0,61897000000.0,CY2018Q4I,AssetsCurrent,ok,2019-01-31,False,61897000000.0,True,True
WMT,current_assets,2019,61806,61806000000.0,61806000000.0,CY2019Q4I,AssetsCurrent,ok,2020-01-31,False,61806000000.0,True,True
WMT,current_assets,2020,90067,90067000000.0,90067000000.0,CY2020Q4I,AssetsCurrent,ok,2021-01-31,False,90067000000.0,True,True
